country_code,continent,language
JPN,Asia,Japanese
RUS,Europe,Yakut
FRA,Europe,French
AUS,Oceania,English
CAN,America,Mohawk
BUL,Europe,Bulgarian
GBR,Europe,Welsh
SRB,Europe,Serbian (Latin)
USA,America,English
ESP,Europe,Spanish
CZE,Europe,Czech
ITA,Europe,Italian
GEO,Europe,Georgian
SUI,Europe,Romansh
HUN,Europe,Hungarian
CHI,America,Spanish
LTU,Europe,Lithuanian
ARG,America,Spanish
GER,Europe,German
RSA,Africa,Setswana
CRO,Europe,Croatian
BEL,Europe,French
TUN,Africa,Arabic
LAT,Europe,Latvian
BLR,Europe,Belarusian
IND,Asia,Telugu
POR,Europe,Portuguese
NZL,Oceania,Maori
GRE,Europe,Greek
SVK,Europe,Slovak
AUT,Europe,German
KOR,Asia,Korean
ROU,Europe,Romanian
MDA,Europe,Romanian
URU,America,Spanish
NED,Europe,Frisian
SLO,Europe,Slovenian
CYP,Europe,Greek
KAZ,Asia,Kazakh
TPE,Asia,Chinese
UZB,Asia,Uzbek
BIH,Europe,Serbian
UKR,Europe,Ukrainian
POL,Europe,Polish
NOR,Europe,Sami (Southern)
BOL,America,Spanish
BRA,America,Portuguese
COL,America,Spanish
SWE,Europe,Swedish
TUR,Europe,Turkish
CHN,Asia,Chinese
BAR,America,English
DOM,America,Spanish
ECU,America,Spanish
FIN,Europe,Swedish
GUA,America,Spanish
MEX,America,Spanish
PER,America,Spanish
ESA,America,Spanish
INA,Asia,Indonesian
THA,Asia,Thai
PHI,Asia,English
DEN,Europe,Danish
EGY,Africa,Arabic
ALG,Africa,Tamazight
ZIM,Africa,English
LUX,Europe,Luxembourgish
PAK,Asia,Urdu
ISR,Asia,Hebrew
EST,Europe,Estonian
MAR,Africa,Arabic
HKG,Asia,Chinese
IRL,Europe,Irish
LBA,Africa,Arabic
SRI,Asia,Sinhala
VEN,America,Spanish
MNE,Europe,Serbian
PAR,America,Spanish
PNG,Oceania,Tok Pisin
SIN,Asia,English
LIE,Europe,German
GRN,Europe,English
BAH,America,English
CUB,America,Spanish
TRI,America,English
OMA,Africa,Arabic
MLT,Europe,Maltese
MKD,Europe,Macedonian
KGZ,Asia,Kyrgyz
MAS,Asia,Malay
BDI,Africa,Kirundi
MRI,Africa,English
PUR,America,Spanish
SAM,Oceania,Samoan
KEN,Africa,Kiswahili
ARM,Asia,Armenian
NAM,Africa,English
REU,Africa,French
UNK,Europe,Albanian
MON,Europe,French
HAI,America,Haitian Creole
VIE,Europe,Vietnamese
HON,America,Spanish
PAN,America,Spanish
CRC,America,Spanish
SGP,Asia,English
TJK,Asia,Tajik
IRI,Asia,Persian
PHL,Asia,English
MGL,Asia,Mongolian
GUM,Oceania,Chamorro
GAB,Africa,French
NGR,Africa,Yoruba
GUD,America,French
CAM,Asia,Khmer
CMR,Africa,French
KUW,Asia,Arabic
MAD,Africa,Malagasy
AND,Europe,Catalan
DEU,Europe,German
NLD,Europe,Frisian
NGA,Africa,Yoruba
GRC,Europe,Greek
JAM,America,English
TOG,Africa, 
UAE,Asia,Arabic
LBN,Asia,Arabic
KSA,Asia,Arabic
TKM,Asia,Turkmen
JOR,Asia,Arabic
VIN,America, 
GHA,Africa, 
SYR,Asia,Syriac
TAN,Africa, 
TTO,America,English
QAT,Asia,Arabic
SMR,Europe, 
BOT,Africa, 
ANT,America, 
BAN,Asia,Bengali
ZAM,Africa, 
COD,Africa,French
BER,America, 
BEN,Africa, 
BRN,Asia,Arabic
ERI,Africa, 
AZE,Asia,Azeri (Latin)
PLW,Oceania,Palauan
